,date
857,2019-09-07
858,2019-09-06
859,2019-09-06
860,2019-09-04
861,2019-09-04
862,2019-09-01
863,2019-08-29
864,2019-08-28
865,2019-08-28
866,2019-08-26
867,2019-08-25
868,2019-08-24
869,2019-08-24
870,2019-08-23
871,2019-08-23
872,2019-08-22
873,2019-08-21
874,2019-08-21
875,2019-08-21
876,2019-08-20
877,2019-08-17
878,2019-08-15
879,2019-08-14
880,2019-08-14
881,2019-08-13
882,2019-08-12
883,2019-08-11
884,2019-08-10
885,2019-08-09
886,2019-08-09
887,2019-08-09
888,2019-08-09
889,2019-08-08
890,2019-08-07
891,2019-08-06
892,2019-08-02
893,2019-08-02
894,2019-08-02
895,2019-08-02
896,2019-08-01
897,2019-08-01
898,2019-07-31
899,2019-07-31
900,2019-07-30
901,2019-07-30
902,2019-07-30
903,2019-07-29
904,2019-07-29
905,2019-07-28
906,2019-07-27
907,2019-07-24
908,2019-07-21
909,2019-07-20
910,2019-07-18
911,2019-07-16
912,2019-07-15
913,2019-07-14
914,2019-07-13
915,2019-07-12
916,2019-07-10
917,2019-07-10
918,2019-07-08
919,2019-07-07
920,2019-07-06
921,2019-07-05
922,2019-07-04
923,2019-07-02
924,2019-07-02
925,2019-07-01
926,2019-06-30
927,2019-06-29
928,2019-06-28
929,2019-06-27
930,2019-06-27
931,2019-06-26
932,2019-06-26
933,2019-06-24
934,2019-06-24
935,2019-06-22
936,2019-06-20
937,2019-06-17
938,2019-06-16
939,2019-06-14
940,2019-06-14
941,2019-06-12
942,2019-06-09
943,2019-06-09
944,2019-06-08
945,2019-06-07
946,2019-06-07
947,2019-06-06
948,2019-06-06
949,2019-06-06
950,2019-06-05
951,2019-06-04
952,2019-06-02
953,2019-06-02
954,2019-06-01
955,2019-05-30
956,2019-05-29
957,2019-05-28
958,2019-05-28
959,2019-05-27
960,2019-05-27
961,2019-05-27
962,2019-05-26
963,2019-05-23
964,2019-05-23
965,2019-05-23
966,2019-05-22
967,2019-05-20
968,2019-05-20
969,2019-05-19
970,2019-05-18
971,2019-05-18
972,2019-05-17
973,2019-05-16
974,2019-05-13
975,2019-05-11
976,2019-05-10
977,2019-05-08
978,2019-05-08
979,2019-05-07
980,2019-05-07
981,2019-05-04
982,2019-05-04
983,2019-05-02
984,2019-05-01
985,2019-05-01
986,2019-05-01
987,2019-04-30
988,2019-04-29
989,2019-04-29
990,2019-04-27
991,2019-04-23
992,2019-04-23
993,2019-04-22
994,2019-04-18
995,2019-04-18
996,2019-04-17
997,2019-04-14
998,2019-04-14
999,2019-04-19
